EAN,GSI,nombre,distribuidor,precio,ASIN,imagen,relevancia
1,2,"comfort zone, mascarilla de arcilla activa, 60 ml.",ComfortZone,31.0,B01N36O3RT,https://m.media-amazon.com/images/I/51MIzKODCxL._AC_SX569_.jpg,1
1,2,body strategist leg gel 200 ml,ComfortZone,50.0,B085GK4LQF,https://m.media-amazon.com/images/I/51Gz-mrycVL._AC_SX569_.jpg,2
1,2,"comfort zone aromasoul - crema corporal mediterránea, 200 ml",ComfortZone,38.0,B07KJ8MPD1,https://m.media-amazon.com/images/I/51rwUTrMUfL._AC_SX569_.jpg,3
1,2,skin regimen microalgae essence 100 ml,ComfortZone,66.0,B07C7KCF4W,https://m.media-amazon.com/images/I/61U0onW5VjL._AC_SX569_.jpg,4
1,2,comfort zone active pureness gel,ComfortZone,45.0,B01N5S2BHO,https://m.media-amazon.com/images/I/51fwmbHdc+L._AC_SX569_.jpg,5
1,2,"comfort zone, crema y leche facial - 50 ml.",ComfortZone,113.0,B07BZDZ3JM,https://m.media-amazon.com/images/I/51W+bNuc8QL._AC_SX569_.jpg,6
1,2,comfort zone sublime skin mascarilla de ojos - 6 unidades,ComfortZone,82.0,B015UDH09A,https://m.media-amazon.com/images/I/61o5IlMBzSL._AC_SX569_.jpg,7
1,2,comfort zone sublime skin crema - 60 ml,ComfortZone,140.0,B015UCTS5U,https://m.media-amazon.com/images/I/61xOBfuguiL._AC_SX569_.jpg,8
1,2,"comfort zone, crema corporal - 200 ml.",ComfortZone,60.0,B07C25PY16,https://m.media-amazon.com/images/I/513GgFTdo6L._AC_SX569_.jpg,9
1,2,comfort zone - active pureness corrector,ComfortZone,32.0,B01N9UH4T9,https://m.media-amazon.com/images/I/41cZuhuKwdL._AC_SY879_.jpg,10
1,2,comfort zone renight crema - 60 ml,ComfortZone,65.0,B01DRZEK96,https://m.media-amazon.com/images/I/51azBivbFaL._AC_SX569_.jpg,11
1,2,comfort zone renight mask -60 ml,ComfortZone,55.0,B07Z1BWSYX,https://m.media-amazon.com/images/I/51X6cfkyJEL._AC_SX569_.jpg,12
1,2,comfort zone hydramemory cream gel tratamiento facial - 60 ml,ComfortZone,62.0,B075WD97B2,https://m.media-amazon.com/images/I/51ZAwrDvBcL._AC_SX569_.jpg,13
1,2,comfort zone sublime skin crema de ojos - 15 ml,ComfortZone,82.0,B015UD2POA,https://m.media-amazon.com/images/I/51ifGXPPENL._AC_SX569_.jpg,14
1,2,comfort zone hydramemory eye gel contorno de ojos - 15 ml,ComfortZone,43.0,B06Y3NHWVG,https://m.media-amazon.com/images/I/51wt5HHZ1KL._AC_SX569_.jpg,15
1,2,comfort zone tranquillity body crema - 180 ml,ComfortZone,72.0,B01NB0TI00,https://m.media-amazon.com/images/I/51ksrLHmZZL._AC_SX569_.jpg,16
1,2,comfort zone essential care limpiador facial - 150 ml,ComfortZone,36.0,B01MSA66C8,https://m.media-amazon.com/images/I/516eBH72roL._AC_SX569_.jpg,17
1,2,"comfort zone, crema y leche facial - 25 ml.",ComfortZone,104.0,B07BZM3HQH,https://m.media-amazon.com/images/I/51jx16ylApL._AC_SX569_.jpg,18
1,2,comfort zone remedy cream to oil limpiador facial - 150 ml,ComfortZone,50.0,B06XDGM9HL,https://m.media-amazon.com/images/I/51679iAdIML._AC_SX569_.jpg,19
1,2,comfort zone essential care toner limpiador - 200 ml,ComfortZone,25.0,B01NAVYVLG,https://m.media-amazon.com/images/I/41AScW6egkL._AC_SX569_.jpg,21
1,2,comfort zone sublime skin rich cream tratamiento facial - 60 ml,ComfortZone,142.0,B0190MZQ34,https://m.media-amazon.com/images/I/6168kWFcNHL._AC_SX569_.jpg,22
1,2,comfort zone tranquillity body loción - 200 ml,ComfortZone,45.0,B01MUI8JBV,https://m.media-amazon.com/images/I/51oBj+HcUTL._SX522_.jpg,23
1,2,comfort zone sublime skin suero - 30 ml,ComfortZone,123.0,B015UD5JLG,https://m.media-amazon.com/images/I/41Maogp9dIL._AC_SX569_.jpg,24
1,2,comfort zone tranquillity blend tratamiento corporal - 50 ml,ComfortZone,29.0,B01MYFU663,https://m.media-amazon.com/images/I/41OZ-bjYmRL._AC_SX569_.jpg,25
1,2,comfort zone tranquillity shower crema - 200 ml,ComfortZone,39.0,B01ND3RNF9,https://m.media-amazon.com/images/I/51RHsfqdghL._AC_SX569_.jpg,26
1,2,comfort zone tranquillity bath & body oil aceite - 200 ml,ComfortZone,45.0,B01NC23R9N,https://m.media-amazon.com/images/I/51xHNBQN72L._AC_SX569_.jpg,27
1,2,comfort zone sublime skin essence 100 ml,ComfortZone,76.0,B077NF3R4W,https://m.media-amazon.com/images/I/51oFEdlTfsL._AC_SY879_.jpg,28
