EAN,GSI,nombre,distribuidor,precio,ASIN,imagen,relevancia
8004608247630,14195707237233699508,OI CHAMPU 280 ML.,Davines,27.25,B00ZPQ129C,https://m.media-amazon.com/images/I/61JNPqSDvdS.__AC_SX300_SY300_QL70_ML2_.jpg,1
8004608255505,15525290041480229573,ENERGIZANTE CHAMPU 250 ML.,Davines,26.25,B06ZZ6CDY1,https://m.media-amazon.com/images/I/71wmKzvGLML._AC_UL600_FMwebp_QL65_.jpg,2
8004608264590,9867941516065695162,OI HAIR BUTTER 250 ML.,Davines,39.75,B07RRBZF7T,https://m.media-amazon.com/images/I/71PVafX1+XL._AC_UL600_FMwebp_QL65_.jpg,3
8004608247609,13200968603662839240,OI OIL 50 ML.,Davines,20.0,B011DCMQZA,https://m.media-amazon.com/images/I/61BKTGqcrVL._AC_UL600_FMwebp_QL65_.jpg,4
8004608256557,14085577273259023259,REPLUMPING CHAMPU 250 ML.,Davines,26.25,B00GTW4S3S,https://m.media-amazon.com/images/I/71kMQxQ4VHL._AC_UL600_FMwebp_QL65_.jpg,5
8004608269113,10623661203372066259,Naturaltech Nourishing Champú 250 ml,Davines,26.25,B0073FD66A,https://m.media-amazon.com/images/I/710Mkvp7dwL._AC_UL600_FMwebp_QL65_.jpg,6
8004608266495,9158348605555005549,OI ACONDICIONADOR 250 ML.,Davines,31.25,B07ZJ82DFL,https://m.media-amazon.com/images/I/61aT6ybYFgL._AC_UL600_FMwebp_QL65_.jpg,7
8004608271666,10011157393115561308,HEART OF GLASS SILKENING CHAMPU 250 ML.,Davines,28.5,B08SXSWC7Y,https://m.media-amazon.com/images/I/71XAYvBZTkL.__AC_SX300_SY300_QL70_ML2_.jpg,8
8004608255093,14144590952505956890,RENEWING CHAMPU 250 ML.,Davines,26.25,B06XSF4R1X,https://m.media-amazon.com/images/I/81rPSzWE1YL.__AC_SX300_SY300_QL70_ML2_.jpg,9
8004608269199,11392259176749487154,HAIR BUILDING PAK 250 ML.,Davines,43.0,B07ZL56NS7,https://m.media-amazon.com/images/I/51lRZCTGsoL._AC_UL600_FMwebp_QL65_.jpg,10
8004608245872,6667073508218113189,Champú Love Smoothing - 250 ml,Davines,23,B00U1JHWR4,https://m.media-amazon.com/images/I/61R0Gfz7SoL._AC_UL600_FMwebp_QL65_.jpg,11
8004608269250,14121226674293108990,VEGETARIAN MIRACLE ACONDICIONADOR 250 ML.,Davines,36.0,B0813DB98Y,https://m.media-amazon.com/images/I/71OgThhD4dL._AC_UL600_FMwebp_QL65_.jpg,12
1,12276963486079426675,Naturaltech Nourishing 1000 ml,Davines,60.0,B07ZL6B5SS,https://m.media-amazon.com/images/I/51kbNfy9-nL._AC_SL1012_.jpg,13
1,8665728360764654241,Heart of Glass Rich Conditioner 250 ml,Davines,34.75,B08SXQTV52,https://m.media-amazon.com/images/I/61frKUCrCDL._AC_SL1183_.jpg,14
1,6025983038085933501,Love Curl Acondicionador 1000ml,Davines,82.75,B00QFKIYX4,https://m.media-amazon.com/images/I/617Cb9LDmlL._SL1500_.jpg,15
1,9520454788893692575,Minu Acondicionador 1000 ml,Davines,82.75,B079GPHV44,https://m.media-amazon.com/images/I/51eBGjbubbL._AC_SL1000_.jpg,16
1,8673629157721452512,Oi Oil 135 ml,Davines,54.25,B006TH5DUK,https://m.media-amazon.com/images/I/71eQCAdLgUL._AC_SL1500_.jpg,17
1,9058111224963794474,Nounou Acondicionador 250 ml,Davines,25.0,B0165H0JHU,https://m.media-amazon.com/images/I/618XsBsIeZL._SL1500_.jpg,18
1,2667241078769520361,More Inside Sea Salt Spray 250 ml,Davines,31.75,B00GB8IA5C,https://m.media-amazon.com/images/I/81WB+wQDJ7L._SL1500_.jpg,19
1,3476464378683291905,Nounou 75 ml,Davines,11.25,B00VO6BRGK,https://m.media-amazon.com/images/I/71QY7V1cEcL._AC_SL1500_.jpg,20
1,813071008737609872,Naturaltech Purifying Champú 100 ml,Davines,11.75,B00GHUZDFO,https://m.media-amazon.com/images/I/51nObYh9SuL._AC_SL1200_.jpg,21
